"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)","Russian"
"m_start_TextNumeric","Numeric (WIP)","Numérico (En progreso)","Numerisch (WIP)","数値 (見本)","숫자 (WIP)","数值 (WIP)","Числовой (WIP)"
"_TextNumericEnabled","Numeric Text","Activar texto numérico","Numerischer Text","数値テキスト","숫자 텍스트","数值文本","Числовой Текст"
"_TextNumericUV","Numeric UV","UV","Numerischer UV","数値 UV","숫자 UV","数值 UV","Числовой UV"
"_TextNumericColor","Color","Color","Farbe","色","색상","颜色","Цвет"
"_TextNumericValue","Display Value","Valor de visualización","Anzeigewert","表示値","표시 값","显示值",""
"_TextNumericWholeDigits","Whole Digits","Dígitos enteros","Ganze Ziffern","整数","정수","整数位数",""
"_TextNumericDecimalDigits","Decimal Digits","Dígitos decimales","Dezimalziffern","10 進数","십진수","小数位数",""
"_TextNumericTrimZeroes","Trim Leading Zeroes","Eliminar los ceros iniciales","Trimmen Sie führende Nullen","先頭のゼロをトリム","앞쪽 0 자르기","修剪前导零",""
"_TextNumericEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","발광 강도","发光强度","Сила Свечения"
"_TextNumericOffset","Offset","Desplazamiento","Versatz","オフセット","오프셋","偏移","Смещение"
"_TextNumericRotation","Rotation","Rotación","Drehung","回転","회전","旋转","Вращение"
"_TextNumericScale","Scale","Escala","Skala","規模","크기","缩放","Масштаб"
"_TextNumericPadding","Padding Reduction","Reducción del relleno","Reduzierung der Polsterung","パディングの削減","패딩 감소","减少填充",""
"m_start_FXProximityColor","Proximity Color","Color de proximidad","Nähe Farbe","カメラの距離に応じた変色","카메라 거리에 따른 색상 변경","距离变色",""
"_FXProximityColor","Enable","Activar","Aktivieren","有効","활성화","启用","Включить"
"_FXProximityColorType","Pos To Use","Posición a usar","Zu verwendende Position","使用する位置","사용할 위치","使用位置","Использовать Позицию"
"_FXProximityColorMinColor","Min Color","Alfa de distancia mínima","Mindestabstand Alpha","最小距離アルファ","최소 거리 알파","最小距离 Alpha",""
"_FXProximityColorMaxColor","Max Color","Alfa de distancia máxima","Maximale Entfernung Alpha","最大距離アルファ","최대 거리 알파","最大距离 Alpha",""
"_FXProximityColorMinDistance","Min Distance","Distancia mínima","Mindestabstand","最小距離","최소 거리","最小距离","Мин. Расстояние"
"_FXProximityColorMaxDistance","Max Distance","Distancia máxima","Maximale Entfernung","最大距離","최대 거리","最大距离","Макс. Расстояние"
"_FXProximityColorBackFace","Force BackFace Color","Forzar el color de la cara trasera","Rückseitenfarbe erzwingen","背面の色を強制する","뒷면 색상 강제","强制背面颜色",""
"m_start_internalparallax","Internal Parallax","Paralaje interno","Interne Parallaxe","内部視差","내부 시차","内部视差",""
"_PoiInternalParallax","Enable","Activar","Aktivieren","有効","활성화","启用","Включить"
"_ParallaxInternalHeightmapMode","Parallax Mode","Modo de paralaje","Parallax-Modus","視差モード","시차 모드","视差模式",""
"_ParallaxInternalHeightFromAlpha","Height From Alpha","Altura según el alfa","HöheVonAlpha","高さをアルファから取得","알파에서 높이 가져오기","从 Alpha 获取高度",""
"_ParallaxInternalMap","Internal Map","Mapa interno","Interne Textur","内部マップ","내부 맵","内部贴图",""
"_ParallaxInternalMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_ParallaxInternalMapMask","Mask","Máscara","Maske","マスク","마스크","遮罩","Маска"
"_ParallaxInternalMapMaskPan","Panning","Barrido de la máscara","Bewegung","パンニング","패닝","平移","Прокрутка"
"_ParallaxInternalMapMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_ParallaxInternalMapMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道","Канал"
"_ParallaxInternalIterations","Parallax Internal Iterations","Iteraciones internas de paralaje","Parallax Interne Iterationen","視差の内部反復","시차 내부 반복","视差内部迭代",""
"_ParallaxInternalMinDepth","Min Depth","Profundidad mínima","Mindesttiefe","最小深度","최소 깊이","最小深度",""
"_ParallaxInternalMaxDepth","Max Depth","Profundidad máxima","Maximale Tiefe","最大深度","최대 깊이","最大深度",""
"_ParallaxInternalMinFade","Min Depth Brightness","Brillo mínimo de profundidad","Minimale Tiefenhelligkeit","最小深度の明るさ","최소 깊이 밝기","最小深度亮度",""
"_ParallaxInternalMaxFade","Max Depth Brightness","Brillo máximo de profundidad","Maximale Tiefenhelligkeit","最大深度の明るさ","최대 깊이 밝기","最大深度亮度",""
"_ParallaxInternalMinColor","Min Depth Color","Color de profundidad mínima","Min. Tiefenfarbe","最小深度カラー","최소 깊이 색상","最小深度颜色",""
"_ParallaxInternalMaxColor","Max Depth Color","Color de profundidad máxima","Maximale Tiefenfarbe","最大深度カラー","최대 깊이 색상","最大深度颜色",""
"_ParallaxInternalPanDepthSpeed","Per Level Pan Multiplier","Multiplicador de velocidad por nivel","Geschwindigkeitsmultiplikator pro Level","レベルごとの速度乗数","레벨당 속도 배율","每级速度乘数",""
"_ParallaxInternalHueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>","<size=13><b>Сдвиг Тона</b></size>"
"_ParallaxInternalHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移","Сдвиг Тона"
"_ParallaxInternalHueShiftSpeed","Hue Shift Speed","Velocidad del cambio","Farbtonverschiebungsgeschwindigkeit","ぼかしシフト速度","색조 시프트 속도","色相偏移速度","Скорость Сдвига Тона"
"_ParallaxInternalHueShiftPerLevel","Hue Shift Per Level","Cambio de tono por nivel","Farbtonverschiebung pro Stufe","レベルごとのぼかしシフト","레벨당 색조 시프트","每级色相偏移",""
"m_start_truchet","Truchet","Teselado de Truchet","Truchet","トルシェット","트루셰","Truchet 镶嵌",""
"_EnableTruchet","Enable Truchet","Activar Truchet","Truet aktivieren","トルシェット を有効にする","트루셰 활성화","启用 Truchet",""
"_TruchetUV","UV","UV","UV","UV","UV","UV","UV"
"_TruchetShape","","Forma","Form","形","모양","形状",""
"_TruchetDensity","Density","Densidad","Dichte","密度","밀도","密度","Плотность"
"_TruchetThiccness","Thiccness","Grosor","Dicke","厚さ","두께","厚度",""
"_TruchetColor","Color","Color","Farbe","色","색상","颜色","Цвет"
"_TruchetPan","","Barrido","Pfad Panen","パス パン","경로 패닝","路径平移",""
"_TruchetTex","TruchetTex","Textura","TruchetTexen","トルシェット Tex","트루셰 텍스처","Truchet 纹理",""
"_TruchetAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha","Альфа"
"_TruchetEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","발광 강도","发光强度","Сила Свечения"
"_TruchetTexPan","Panning","Barrido de la textura","Bewegung","パンニング","패닝","平移","Прокрутка"
"m_start_videoEffects","Video Effects","Efectos de video","Videoeffekte","ビデオ効果","비디오 효과","视频效果",""
"_VideoEffectsEnable","Enable VideoEffects","Activar efectos de video","Aktivieren Sie VideoEffects","ビデオ効果 を有効にする","비디오 효과 활성화","启用视频效果",""
"_VideoType","Screen Type","Tipo de pantalla","Bildschirmtyp","スクリーンタイプ","화면 유형","屏幕类型",""
"_VideoBacklight","Brightness","Retroiluminación","Helligkeit","明るさ","밝기","亮度","Яркость"
"_VideoEmissionEnabled","Emission Enabled","Emisión activada","Emission aktiviert","発光を有効にする","발광 활성화","启用发光",""
"_VideoPixelTexture","Pixel Texture","Textura de píxeles","Pixel-Textur","ピクセル テクスチャ","픽셀 텍스처","像素纹理",""
"_VideoPixelTextureUV","UV","UV","UV","UV","UV","UV","UV"
"_VideoMaskTexture","Mask","Máscara","Maske","マスク","마스크","遮罩","Маска"
"_VideoMaskTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_VideoMaskTextureUV","UV","UV","UV","UV","UV","UV","UV"
"_VideoMaskTextureChannel","Channel","Canal","Kanal","チャンネル","채널","通道","Канал"
"m_start_VideoSettings","Video Texture Settings","Configuración de la textura del video","Videotextureinstellungen","ビデオ テクスチャの設定","비디오 텍스처 설정","视频纹理设置",""
"_VideoResolution","Resolution","Resolución","Auflösung","解像度","해상도","分辨率",""
"_VideoPixelateToResolution","Pixelate To Resolution","Pixelar a la resolución","Auf Auflösung verpixeln","解像度へのピクセル化","해상도로 픽셀화","像素化到分辨率",""
"_VideoSaturation","Saturation","Saturación","Sättigung","色調","채도","饱和度","Насыщенность"
"_VideoContrast","Contrast boost","Mejora del contraste","Kontrastverstärkung","コントラストブースト","대비 강화","对比度增强",""
"m_start_CRT","CRT Options","Opciones de tubo de rayos catódicos (CRT)","CRT-Optionen","ブラウン管オプション","CRT 옵션","CRT 选项",""
"_VideoCRTRefreshRate","Refresh Rate","Frecuencia de actualización","Aktualisierungsrate","リフレッシュレート","새로고침 빈도","刷新率",""
"_VideoCRTPixelEnergizedTime","Pixel Fade Time","Tiempo de desvanecimiento de píxeles","Pixel-Fade-Zeit","ピクセルフェードタイム","픽셀 페이드 시간","像素淡出时间",""
"m_start_Gameboy","Gameboy Options","Opciones de Gameboy","Gameboy-Optionen","ゲームボーイオプション","게임보이 옵션","Gameboy 选项",""
"_VideoGameboyRamp","Color Ramp","Rampa de color","Farbrampe","カラーランプ","컬러 램프","颜色渐变",""
"m_AudioLinkCategory","Audio Link","AudioLink","Audiolink","オーディオリンク","오디오링크","AudioLink","AudioLink"
"m_start_audioLink","Audio Link","AudioLink","Audiolink","オーディオリンク","오디오링크","AudioLink","AudioLink"
"_EnableAudioLink","Enabled","Activado","Ermöglicht","有効","활성화","启用","Включено"
"_AudioLinkHelp","This section houses the global controls for audio link. Controls for individual features are in their respective sections. (Emission/Dissolve/etc...)","Esta sección contiene los controles generales para el AudioLink. Los controles para funciones individuales se encuentran en sus respectivas secciones. (Emisión/Disolución/etc...)","Dieser Abschnitt enthält die globalen Steuerelemente für die Audioverbindung. Steuerelemente für einzelne Funktionen befinden sich in den jeweiligen Abschnitten. (Emission Dissolve Etc.)","このセクションにはオーディオリンクのグローバルコントロールが配置されています。個々の機能のコントロールはそれぞれのセクションにあります（エミッションディゾルブなど）。","이 섹션에는 오디오링크에 대한 전역 컨트롤이 포함되어 있습니다. 개별 기능에 대한 컨트롤은 각 섹션에 있습니다. (발광","此部分包含 AudioLink 的全局控件。单个功能的控件位于各自的部分中（发光溶解等）。",""
"_AudioLinkAnimToggle","Anim Toggle","AudioLink","Animation umschalten","アニメーション切り替え","애니메이션 전환","动画切换",""
"m_start_ALDecalSpectrum","AL ♫ Spectrum","Espectro del AudioLink ♫","AL ♫ Spektrumen","オーディオリンク ♫ スペクトラム","오디오링크 ♫ 스펙트럼","AudioLink ♫ 频谱",""
"_EnableALDecal","Enable AL Decal","Activar la calcomanía","AL-Aufkleber aktivieren","AL デカールを有効にする","AL 데칼 활성화","启用 AL 贴花",""
"_ALDecalType","AL Type","Tipo de AL","AL-Typ","アルタイプ","AL 유형","AL 类型",""
"_ALDecalUVMode","UV Mode","Modo UV","UV-Modus","UVモード","UV 모드","UV 模式","Режим UV"
"_ALDecalUV","UV","UV","UV","UV","UV","UV","UV"
"_ALUVPosition","Position","Posición","Position","位置","위치","位置","Позиция"
"_ALUVScale","Scale","Escala","Skala","規模","크기","缩放","Масштаб"
"_ALUVRotation","Rotation","Rotación","Drehung","回転","회전","旋转","Вращение"
"_ALUVRotationSpeed","Rotation Speed","Velocidad de rotación","Drehgeschwindigkeit","回転速度","회전 속도","旋转速度","Скорость Ротации"
"_ALDecalLineWidth","Line Width","Ancho de línea","Linienbreite","線幅","선 너비","线宽",""
"_ALDecaldCircleDimensions","Cirlce Dimensions","Mediciones circulares","Kreisabmessungen","サークル寸法","원 치수","圆尺寸",""
"_ALDecalVolumeStep","Volume Step Num (0 = Off)","Número de paso de volumen (0 = apagado)","Lautstärkeschrittnummer (0 = Aus)","音量ステップ番号 (0 = オフ)","볼륨 단계 번호 (0 = 꺼짐)","音量步进数 (0 = 关)",""
"_ALDecalVolumeClipMin","Volume Clip Min","Límite de volumen mínimo","Lautstärke Clip Min","ボリューム クリップ 最小値","볼륨 클립 최소값","音量裁剪最小值",""
"_ALDecalVolumeClipMax","Volume Clip Max","Límite de volumen máximo","Lautstärke Clip max","ボリューム クリップ 最大値","볼륨 클립 최대값","音量裁剪最大值",""
"_ALDecalBandStep","Band Step Num (0 = Off)","Número de paso de banda (0 = apagado)","Bandschrittnummer (0 = Aus)","帯域ステップ番号 (0 = オフ)","밴드 단계 번호 (0 = 꺼짐)","频段步进数 (0 = 关)",""
"_ALDecalBandClipMin","Band Clip Min","Límite de banda mínimo","Bandclip Min","バンド クリップ 最小値","밴드 클립 최소값","频段裁剪最小值",""
"_ALDecalBandClipMax","Band Clip Max","Límite de banda máximo","Bandclip max","バンド クリップ 最大値","밴드 클립 최대값","频段裁剪最大值",""
"_ALDecalShapeClip","<size=13><b>  Shape Clip</b></size>","<size=13><b>Recorte de forma </b></size>","<size=13><b>Formclip</b></size>","<size=13><b>シェイプ クリップ</b></size>","<size=13><b>모양 클립</b></size>","<size=13><b>形状裁剪</b></size>",""
"_ALDecalShapeClipVolumeWidth","Volume Width","Ancho del volumen","Volumenbreite","ボリューム幅","볼륨 너비","音量宽度",""
"_ALDecalShapeClipBandWidth","Band Width","Ancho de la banda","Bandbreite","バンド幅","밴드 너비","频段宽度",""
"_ALDecalVolume","Volume","Volumen","Volumen","音量","볼륨","音量",""
"_ALDecalBaseBoost","Bass Boost","Aumento de los graves","Bass-Boost","バスブースト","베이스 부스트","低音增强",""
"_ALDecalTrebleBoost","Treble Boost","Aumento de los agudos","Höhenverstärkung","トレブルブースト","고음 부스트","高音增强",""
"_ALDecalColorMask","Color & Mask","Color y máscara","Farbe & Maske","カラー＆マスク","색상 & 마스크","颜色 & 遮罩",""
"_ALDecalColorMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_ALDecalColorMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_ALDecalVolumeColorSource","Source","Fuente","Quelle","ソース","소스","源",""
"_ALDecalVolumeColorLow","Volume Color Low","Color del volumen bajo","Lautstärke Farbe Niedrig","ボリューム カラー 低","볼륨 색상 낮음","低音量颜色",""
"_ALDecalLowEmission","Low Emission","Emisión del volumen bajo","Niedrige Emissionen","発光 低","발광 낮음","低发光",""
"_ALDecalVolumeColorMid","Volume Color Mid","Color del volumen medio","Volumen Farbe Mittel","ボリューム カラー 中","볼륨 색상 중간","中音量颜色",""
"_ALDecalMidEmission","Mid Emission","Emisión del volumen medio","Mittlere Emission","発光 中","발광 중간","中发光",""
"_ALDecalVolumeColorHigh","Volume Color High","Color del volumen alto","Volumen Farbe Hoch","ボリューム カラー 高","볼륨 색상 높음","高音量颜色",""
"_ALDecalHighEmission","High Emission","Emisión del volumen alto","Hohe Emission","発光 高","발광 높음","高发光",""
"_ALDecalBlendType","Blend Type","Tipo de mezcla","Mischungstyp","ブレンドタイプ","블렌드 유형","混合类型",""
"_ALDecalBlendAlpha","Alpha","Alfa","Alpha","アルファ","알파","Alpha","Альфа"
"_ALDecalControlsAlpha","Override Alpha","Anular alfa","Alpha überschreiben","アルファをオーバーライド","알파 덮어쓰기","覆盖 Alpha",""
"m_modifierCategory","Global Modifiers & Data","Modificadores","Modifikatoren","モーディファイアー","수정자","修改器",""
"m_start_Stochastic","Stochastic Sampling","Muestreo estocástico","Stochastisches Sampling","確率的サンプリング","확률적 샘플링","随机采样 (Stochastic)","Стохастическая Выборка"
"_StochasticMode","Sampling Mode","Modo de muestreo","Sampling-Modus","サンプリングモード","샘플링 모드","采样模式",""
"g_start_deliot","","Deliot Heitz","Deliot Heitzde","デリオット・ハイツ","델리오트 하이츠","Deliot Heitz",""
"_StochasticDeliotHeitzDensity","Detiling Density","Densidad","Detilierungsdichte","ディテール密度","디테일 밀도","细节密度",""
"g_end_deliot","","Deliot Heitz","Deliot Heitzde","デリオット・ハイツ","델리오트 하이츠","Deliot Heitz",""
"g_start_hextile","","Teselas hexagonales (Hextil)","Hextil","ヘクタイル","헥스타일","六边形平铺 (Hextile)",""
"_StochasticHexGridDensity","Hex Grid Density","Densidad de cuadrícula hexadecimal","Hex-Gitterdichte","16 進グリッド密度","16진 그리드 밀도","六边形网格密度",""
"_StochasticHexRotationStrength","Rotation Strength","Intensidad de rotación","Rotationsstärke","回転強度","회전 강도","旋转强度",""
"_StochasticHexFallOffContrast","Falloff Contrast","Contraste de atenuación","Falloff-Kontrast","減衰コントラスト","감쇠 대비","衰减对比度",""
"_StochasticHexFallOffPower","Falloff Power","Potencia de atenuación","Falloff-Leistung","減衰力","감쇠력","衰减强度",""
"g_end_hextile","Hex Tile","Teselas hexagonales (Hextil)","Hextil","ヘクタイル","헥스타일","六边形平铺 (Hextile)",""
"m_start_uvDistortion","Distortion UV","Distorsión UV","Verzerrung UV","UVの歪み","UV 왜곡","UV 扭曲",""
"_EnableDistortion","Enabled","Activado","Ermöglicht","有効","활성화","启用","Включено"
"_DistortionUvToDistort","Distorted UV","UV distorsionadas","Verzerrtes UV","歪ませるUV","왜곡할 UV","被扭曲的 UV",""
"_DistortionMask","Mask","Máscara","Maske","マスク","마스크","遮罩","Маска"
"_DistortionMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_DistortionMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_DistortionMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道","Канал"
"_DistortionFlowTexture","Distortion Texture 1","Textura de distorsión 1","Verzerrungstextur 1","歪みテクスチャ 1","왜곡 텍스처 1","扭曲纹理 1",""
"_DistortionFlowTexturePan","Panning","Barrido de textura","Bewegung","パンニング","패닝","平移","Прокрутка"
"_DistortionFlowTextureUV","UV","UV de textura","UV","UV","UV","UV","UV"
"_DistortionFlowTexture1","Distortion Texture 2","Textura de distorsión 2","Verzerrungstextur 2","歪みテクスチャ 2","왜곡 텍스처 2","扭曲纹理 2",""
"_DistortionFlowTexture1Pan","Panning","Barrido de textura","Bewegung","パンニング","패닝","平移","Прокрутка"
"_DistortionFlowTexture1UV","UV","UV de textura","UV","UV","UV","UV","UV"
"_DistortionStrength","Strength1","Intensidad1","Stärke1","強さ1","강도1","强度 1",""
"_DistortionStrength1","Strength2","Intensidad2","Stärke2","強さ2","강도2","强度 2",""
"m_start_DistortionAudioLink","Audio Link ♫","AudioLink ♫","Audiolink ♫","オーディオリンク♫","오디오링크♫","AudioLink ♫","Audio Link ♫"
"_EnableDistortionAudioLink","Enabled","Activado","Ermöglicht","有効","활성화","启用","Включено"
"_DistortionStrengthAudioLinkBand","Strength 1 Band","Banda de la intensidad 1","Band der Stärke 1","強度 1 バンド","강도 1 밴드","强度 1 频段",""
"_DistortionStrengthAudioLink","Strength 1 Offset Range","Rango de desplazamiento de la intensidad 1","Stärke 1 Offset-Bereich","強度 1 オフセット範囲","강도 1 오프셋 범위","强度 1 偏移范围",""
"_DistortionStrength1AudioLinkBand","Strength 2 Band","Banda de la intensidad 2","Stärke 2-Band","強度 2 バンド","강도 2 밴드","强度 2 频段",""
"_DistortionStrength1AudioLink","Strength 2 Offset Range","Rango de desplazamiento de la intensidad 2","Stärke 2 Offset-Bereich","強度 2 オフセット範囲","강도 2 오프셋 범위","强度 2 偏移范围",""
"m_start_uvPanosphere","Panosphere UV","Esfera panorámica UV (Panosphere UV)","Panosphäre UV","パノスフィア UV","파노스피어 UV","全景球 UV (Panosphere)",""
"_StereoEnabled","Stereo Layout","Diseño estéreo","Stereo-Layout","ステレオレイアウト","스테레오 레이아웃","立体布局",""
"_PanoUseBothEyes","Perspective Correct (VR)","Perspectiva correcta (Modo VR)","Perspektive korrekt (VR)","パースペクティブ コレクト (VR)","원근 보정 (VR)","透视校正 (VR)",""
"m_start_uvPolar","Polar UV","UV polares","Polares UV","極線・集中線UV","극선/집중선 UV","极坐标 UV",""
"_PolarUV","UV","UV","UV","UV","UV","UV","UV"
"_PolarCenter","Center Coordinate","Coordenadas centrales","Zentrumskoordinate","中心座標","중심 좌표","中心坐标",""
"_PolarRadialScale","Radial Scale","Escala radial","Radiale Skala","放射状スケール","방사형 스케일","径向缩放",""
"_PolarLengthScale","Length Scale","Escala longitudinal","Längenskala","長さスケール","길이 스케일","长度缩放",""
"_PolarSpiralPower","Spiral Power","Intensidad espiral","Spiralkraft","スパイラルパワー","나선 파워","螺旋强度",""
"m_start_parallax","Parallax Heightmapping","Mapeo de altura con paralaje","Parallax Heightmapping","視差のハイトマッピング","시차 높이 매핑","视差高度映射",""
"_PoiParallax","Enable","Activar","Aktivieren","有効","활성화","启用","Включить"
"_ParallaxUV","Applies To: ","Se aplica a:","Gilt für:","適用先：","적용 대상:","适用于:",""
"_HeightMap","Heightmap","Mapa de altura","HöhenTextur","ハイトマップ","높이 맵","高度图",""
"_HeightMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_HeightMapUV","UV","UV","UV","UV","UV","UV","UV"
"_Heightmask","Mask","Máscara","Maske","マスク","마스크","遮罩","Маска"
"_HeightmaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_HeightmaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道","Канал"
"_HeightmaskInvert","Invert","Invertir","Umkehren","反転","반전","反转","Инвертировать"
"_HeightmaskUV","UV","UV","UV","UV","UV","UV","UV"
"_HeightStrength","Strength","Intensidad","Stärke","強さ","강도","强度","Сила"
"_CurvatureU","Curvature U","Curvatura de U","U-Bögenco","曲率 U","곡률 U","曲率 U",""
"_CurvatureV","Curvature V","Curvatura de V","Krümmung v","曲率 V","곡률 V","曲率 V",""
"_HeightStepsMin","Steps Min","Pasos mínimo","Schritte min","最小歩数","최소 걸음 수","最小步数",""
"_HeightStepsMax","Steps Max","Pasos máximo","Schritte max","最大歩数","최대 걸음 수","最大步数",""
"_CurvFix","Curvature Bias","Sesgo de curvatura","Krümmungsverzerrung","曲面の傾き","곡면 기울기","曲面偏移",""
"m_start_BlackLightMasking","BlackLight Masking","Enmascarado de luz negra","Schwarzlichtmaskierung","ブラックライトマスキング","블랙라이트 마스킹","黑光遮罩",""
"_BlackLightMaskingEnabled","BlackLight Masking Enabled","Enmascarado de luz negra activado","BlackLight-Maskierung aktiviert","ブラックライトマスキング有効","블랙라이트 마스킹 활성화","启用黑光遮罩",""
"_BlackLightMasking0Key","Key","Clave","Taste","キー","키","值","Ключ"
"_BlackLightMasking0Range","Range","Rango","Bereich","範囲","범위","范围","Диапазон"
"_BlackLightMasking0GlobalMaskIndex","Apply to Global Mask","Aplicar a la máscara global","Bewerben Sie sich bei Global Mask","グローバルマスクに適用","글로벌 마스크에 적용","应用到全局遮罩","Применить к Глобальной Маске"
"_BlackLightMasking0GlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"_BlackLightMasking1Key","Key","Clave","Taste","キー","키","值","Ключ"
"_BlackLightMasking1Range","Range","Rango","Bereich","範囲","범위","范围","Диапазон"
"_BlackLightMasking1GlobalMaskIndex","Apply to Global Mask","Aplicar a la máscara global","Bewerben Sie sich bei Global Mask","グローバルマスクに適用","글로벌 마스크에 적용","应用到全局遮罩","Применить к Глобальной Маске"
"_BlackLightMasking1GlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"_BlackLightMasking2Key","Key","Clave","Taste","キー","키","值","Ключ"
"_BlackLightMasking2Range","Range","Rango","Bereich","範囲","범위","范围","Диапазон"
"_BlackLightMasking2GlobalMaskIndex","Apply to Global Mask","Aplicar a la máscara global","Bewerben Sie sich bei Global Mask","グローバルマスクに適用","글로벌 마스크에 적용","应用到全局遮罩","Применить к Глобальной Маске"
"_BlackLightMasking2GlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"_BlackLightMasking3Key","Key","Clave","Taste","キー","키","值","Ключ"
"_BlackLightMasking3Range","Range","Rango","Bereich","範囲","범위","范围","Диапазон"
"_BlackLightMasking3GlobalMaskIndex","Apply to Global Mask","Aplicar a la máscara global","Bewerben Sie sich bei Global Mask","グローバルマスクに適用","글로벌 마스크에 적용","应用到全局遮罩","Применить к Глобальной Маске"
"_BlackLightMasking3GlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"m_start_normalCorrect","Normal Correct","Corrección de las normales","Normal richtig","ノーマル補正","노멀 보정","法线校正",""
"_NormalCorrect","Enable","Activar","Aktivieren","有効","활성화","启用","Включить"
"_NormalCorrectAmount","Normal Correct Amount","Cantidad de corrección","Normale korrekte Menge","ノーマルの補正値","노멀 보정값","校正量",""
"_NormalCorrectOrigin","Origin","Origen","Herkunft","原点","원점","原点",""
"m_postprocessing","","Posprocesado","Nachbearbeitung","後処理","후처리","后处理",""
"_PPHelp","This section meant for real time adjustments through animations and not to be changed in unity","Esta sección está destinada a ajustes en tiempo real a través de animaciones y no para ser cambiados en Unity","Dieser Abschnitt ist für Echtzeitanpassungen durch Animationen gedacht und darf nicht in Einheit geändert werden","このセクションは、アニメーションによるリアルタイムの調整を目的としており、統一されたものではありません","이 섹션은 애니메이션에 의한 실시간 조정을 목적으로 하며","本部分用于通过动画进行实时调整，不建议在 Unity 中更改",""
"_PPLightingMultiplier","Lighting Mulitplier","Multiplicador de iluminación","Beleuchtungsmultiplikator","光源値乗数","광원값 배율","光照乘数",""
"_PPLightingAddition","Lighting Add","Iluminación adicional","Beleuchtung zusätzl","光源値追加","광원값 추가","光照添加",""
"_PPEmissionMultiplier","Emission Multiplier","Multiplicador de emisión","Emissionsmultiplikator","発光乗数","발광 배율","发光乘数",""
"_PPFinalColorMultiplier","Final Color Multiplier","Multiplicador de color final","Endgültiger Farbmultiplikator","最終色乗数","최종 색상 배율","最终颜色乘数",""
"m_start_postprocess","Post Processing","Posprocesado","Nachbearbeitung","後処理","후처리","后处理",""
"_PostProcess","Enable","Activar","Aktivieren","有効","활성화","启用","Включить"
"_PPMask","Mask","Máscara","Maske","マスク","마스크","遮罩","Маска"
"_PPMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_PPMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道","Канал"
"_PPMaskInvert","Invert","Invertir","Umkehren","反転","반전","反转","Инвертировать"
"_PPMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_PPHue","Hue","Tono","Farbton","色調","색조","色相","Тон"
"_PPTint","Tint","Tinte","Farbton","色合い","색合い","色调","Оттенок"
"_PPRGB","RGB","RGB","RGB","RGB","RGB","RGB",""
"_PPContrast","Contrast","Contraste","Kontrast","対比","대비","对比度",""
"_PPSaturation","Saturation","Saturación","Sättigung","色調","채도","饱和度","Насыщенность"
"_PPBrightness","Brightness","Brillo","Helligkeit","明るさ","밝기","亮度","Яркость"
"_PPLightness","Lightness","Ligereza","Leichtigkeit","明度","명도","明度",""
"_PPHDR","HDR","HDR","HDR","HDR","HDR","HDR","HDR"
"_PPPosterization"," Posterization","<size=13><b>Posterización </b></size>","<size=13><b> Posterisierung</b></size>","<size=13><b>ポスタリゼーション</b></size>","<size=13><b>포스터리제이션</b></size>","<size=13><b>色调分离 (Posterization)</b></size>",""
"_PPPosterizationAmount","Steps","Pasos","Schritte","手数","단계","阶数",""
"m_renderingCategory","Rendering","Renderizado","Rendern","レンダリング","렌더링","渲染",""
"_Cull","Cull","Descarte de caras (Cull)","Pflücken","Cull (描画面)","Cull (그리기 면)","剔除 (Cull)",""
